SITE_NAME,SITE_ID,LOCATION_LAT,LOCATION_LONG
La Copita Shrubland - Savanna,US-Tx7,27.665,-98.2007
Sargent Unit Salt Marsh,US-Tx9,28.7805,-95.6144
"University of Alaska, Fairbanks",US-Uaf,64.8663,-147.8555
ULM Flux Tower,US-ULM,32.457,-91.9743
Douglas Lake,US-UM3,45.5686,-84.6707
Univ. of Mich. Biological Station,US-UMB,45.5598,-84.7138
UMBS Disturbance,US-UMd,45.5625,-84.6975
NEON University of Notre Dame Environmental Research Center (UNDE),US-UND,46.2339,-89.5373
Upad,US-Upa,70.2815,-148.8848
Vaira Ranch- Ione,US-Var,38.4133,-120.9507
Valles Caldera Mixed Conifer,US-Vcm,35.8884,-106.5321
Valles Caldera Ponderosa Pine,US-Vcp,35.8642,-106.5967
Valles Caldera Sulphur Springs Mixed Conifer,US-Vcs,35.9193,-106.6142
Virginia Coast Reserve Fowling Point,US-VFP,37.4111,-75.8333
Walker Branch Watershed,US-WBW,35.9588,-84.2874
Willow Creek,US-WCr,45.8059,-90.0799
Walden,US-Wdn,40.7838,-106.2618
Willamette Grass,US-Wgr,45.1129,-122.656
Walnut Gulch Lucky Hills Shrub,US-Whs,31.7438,-110.0522
Young red pine (YRP),US-Wi0,46.6188,-91.0814
Intermediate hardwood (IHW),US-Wi1,46.7305,-91.2329
Intermediate red pine (IRP),US-Wi2,46.6869,-91.1528
Mature hardwood (MHW),US-Wi3,46.6347,-91.0987
Mature red pine (MRP),US-Wi4,46.7393,-91.1663
Mixed young jack pine (MYJP),US-Wi5,46.6531,-91.0858
Pine barrens #1 (PB1),US-Wi6,46.6249,-91.2982
Red pine clearcut (RPCC),US-Wi7,46.6491,-91.0693
Young hardwood clearcut (YHW),US-Wi8,46.7223,-91.2524
Young Jack pine (YJP),US-Wi9,46.6188,-91.0814
Willard Juniper Savannah,US-Wjs,34.4255,-105.8615
Walnut Gulch Kendall Grasslands,US-Wkg,31.7365,-109.9419
Walnut River Watershed (Smileyburg),US-Wlr,37.5208,-96.855
NEON Woodworth (WOOD),US-WOD,47.1282,-99.2414
Willamette Poplar,US-Wpp,44.1369,-123.1824
Winous Point North Marsh,US-WPT,41.4646,-82.9962
Wind River Crane Site,US-Wrc,45.8205,-121.9519
Willamette Wheat,US-Wwt,45.1089,-122.6664
Yellow Cab urban,US-Ylw,29.7894,-95.3536
